code,organization,grade,date,title,type
300700,国海证券,买入,2018-02-27,深度报告：光伏+蓝宝石双轮驱动，公司发展步入机遇期,个股研报
300700,中泰证券,增持,2017-12-12,国内领先的金刚石线制造商，产能扩张带来持续增长,个股研报
300700,国海证券,增持,2017-11-21,动态研究：金刚石线切割前景广阔，公司发展有望充分受益,个股研报
300700,中信建投证券,Null,2017-08-22,中小公司新股研究（第96期）：岱勒新材,个股研报
603773,东莞证券,Null,2018-03-27,新股网下申购询价建议报告（沃格光电）,个股研报
603301,财通证券,Null,2018-04-13,医用敷料行业龙头企业,个股研报
603301,恒泰证券,Null,2018-04-02,新股申购：预计上市初期压力位53元-60元,个股研报
603301,东莞证券,Null,2018-03-22,新股网下申购询价建议报告（振德医疗）,个股研报
