近一年上市新股市场表现（6月26日）
新闻日期：06-26

近一年两市共有261只新股上市，其中有3只新股迄今尚未打开涨停板。从已经录得的涨停板数量来看，贵州燃气最多，上市以来累计获38个涨停板，累计上涨569.71%。从累计涨幅来看，贵州燃气涨幅第一，上市以来涨幅高达569.71%，累计录得38个涨停；中石科技紧随其后，累计上涨544.19%，获26个涨停，详细数据如下表所示。 
近一年上市新股市场表现
证券代码| 证券简称| 上市日期| 最新价(元)| 上市以来累计涨跌幅(%)| 连续一字板数量  
---|---|---|---|---|---  
600903| 贵州燃气| 2017.11.07| 21.28| 569.71| 12  
300684| 中石科技| 2017.12.27| 74.01| 544.19| 16  
300706| 阿石创| 2017.09.26| 47.60| 497.12| 18  
300675| 建科院| 2017.07.19| 30.75| 484.30| 12  
300725| 药石科技| 2017.11.10| 63.09| 481.58| 15  
300676| 华大基因| 2017.07.14| 110.32| 462.99| 17  
603533| 掌阅科技| 2017.09.21| 30.93| 431.06| 23  
300685| 艾德生物| 2017.08.02| 105.41| 428.11| 14  
601619| 嘉泽新能| 2017.07.20| 8.29| 358.01| 16  
300678| 中科信息| 2017.07.28| 51.23| 353.36| 8  
300708| 聚灿光电| 2017.10.16| 18.32| 352.50| 24  
002907| 华森制药| 2017.10.20| 28.27| 334.69| 14  
603127| 昭衍新药| 2017.08.25| 52.95| 313.12| 15  
300672| 国科微| 2017.07.12| 49.26| 304.67| 7  
603712| 七一二| 2018.02.26| 26.29| 301.79| 13  
300746| 汉嘉设计| 2018.05.25| 32.44| 300.99| 14  
603056| 德邦股份| 2018.01.16| 27.61| 298.65| 12  
300688| 创业黑马| 2017.08.10| 61.51| 297.98| 16  
300634| 彩讯股份| 2018.03.23| 40.70| 294.38| 16  
300700| 岱勒新材| 2017.09.12| 59.00| 292.30| 15  
300730| 科创信息| 2017.12.05| 27.64| 291.00| 12  
603595| 东尼电子| 2017.07.12| 71.84| 284.22| 7  
002930| 宏川智慧| 2018.03.28| 47.17| 284.12| 8  
300624| 万兴科技| 2018.01.18| 87.85| 269.24| 9  
300745| 欣锐科技| 2018.05.23| 61.67| 267.52| 13  
002908| 德生科技| 2017.10.20| 37.93| 249.17| 14  
002915| 中欣氟材| 2017.12.05| 31.37| 240.24| 14  
002864| 盘龙药业| 2017.11.16| 48.45| 236.08| 9  
300722| 新余国科| 2017.11.10| 43.00| 234.28| 11  
603707| 健友股份| 2017.07.19| 26.28| 230.57| 6  
002912| 中新赛克| 2017.11.21| 88.59| 227.62| 8  
300743| 天地数码| 2018.04.27| 68.51| 223.62| 15  
300727| 润禾材料| 2017.11.27| 38.80| 223.06| 9  
300671| 富满电子| 2017.07.05| 26.93| 222.76| 8  
603045| 福达合金| 2018.05.17| 44.12| 217.41| 14  
603259| 药明康德| 2018.05.08| 95.70| 207.72| 15  
002896| 中大力德| 2017.08.29| 51.94| 206.97| 11  
600929| 湖南盐业| 2018.03.26| 16.14| 202.25| 12  
002903| 宇环数控| 2017.10.13| 36.73| 201.30| 11  
300705| 九典制药| 2017.10.10| 22.43| 201.12| 9  
603722| 阿科力| 2017.10.25| 48.16| 199.98| 14  
603659| 璞泰来| 2017.11.03| 67.10| 183.51| 9  
300682| 朗新科技| 2017.08.01| 21.65| 173.68| 7  
300692| 中环环保| 2017.08.21| 23.03| 173.60| 14  
300699| 光威复材| 2017.09.01| 44.04| 173.44| 16  
603283| 赛腾股份| 2017.12.25| 26.72| 170.20| 13  
002909| 集泰股份| 2017.10.26| 20.26| 166.59| 11  
603882| 金域医学| 2017.09.08| 26.51| 165.63| 15  
603386| 广东骏亚| 2017.09.12| 23.49| 163.44| 11  
300701| 森霸传感| 2017.09.15| 49.24| 162.76| 10  
